"Day","Suspectible","Exposed","Infectious","Recovered","Dead"
"1","199","1","0","0","0"
"2","198","2","0","0","0"
"3","198","2","0","0","0"
"4","197","3","0","0","0"
"5","195","5","0","0","0"
"6","195","5","0","0","0"
"7","194","6","0","0","0"
"8","192","8","0","0","0"
"9","190","10","0","0","0"
"10","188","12","0","0","0"
"11","188","12","0","0","0"
"12","187","13","0","0","0"
"13","183","17","0","0","0"
"14","178","22","0","0","0"
"15","174","26","0","0","0"
"16","170","29","1","0","0"
"17","165","33","2","0","0"
"18","158","40","2","0","0"
"19","155","42","3","0","0"
"20","147","48","5","0","0"
"21","139","56","5","0","0"
"22","128","66","5","1","0"
"23","118","74","6","2","0"
"24","107","83","8","2","0"
"25","90","98","9","3","0"
"26","79","109","6","5","1"
"27","71","116","7","5","1"
"28","59","124","10","6","1"
"29","50","128","13","8","1"
"30","45","129","15","10","1"
"31","37","133","17","11","2"
"32","31","134","19","11","5"
"33","30","128","24","11","7"
"34","25","130","25","13","7"
"35","23","124","26","17","10"
"36","18","121","32","19","10"
"37","16","112","41","21","10"
"38","14","104","47","25","10"
"39","13","94","50","32","11"
"40","12","78","64","35","11"
"41","9","70","64","43","14"
"42","9","62","63","51","15"
"43","9","50","64","60","17"
"44","8","42","62","69","19"
"45","7","38","54","79","22"
"46","7","30","46","92","25"
"47","6","25","42","100","27"
"48","5","25","37","106","27"
"49","5","20","28","116","31"
"50","4","19","21","123","33"
"51","4","14","22","125","35"
"52","4","12","19","130","35"
"53","4","10","15","136","35"
"54","4","9","14","137","36"
"55","4","8","11","141","36"
"56","4","5","12","142","37"
"57","4","5","7","146","38"
"58","4","5","5","148","38"
"59","4","4","5","149","38"
"60","4","3","5","150","38"
"61","4","3","4","151","38"
"62","4","2","3","153","38"
"63","4","1","4","153","38"
"64","4","1","4","153","38"
"65","4","0","4","154","38"
"66","4","0","3","155","38"
"67","4","0","3","155","38"
"68","4","0","2","156","38"
"69","4","0","1","157","38"
"70","4","0","1","157","38"
"71","4","0","0","158","38"
